,__,PRP$,VBG,VBD,VBN,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,FW,,,.,TO,PRP,RB,-LRB-,:,NNS,NNP,``,WRB,CC,LS,PDT,RBS,RBR,CD,EX,IN,WP$,MD,NNPS,-RRB-,JJS,JJR,SYM,VB,UH,
WP,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
VBZ,0,0,0,0,0,11,0,0,37,0,0,547,0,0,0,0,2,29,0,1,0,13,1,0,0,29,2,0,0,0,0,0,0,0,1,21,0,2,0,2,1,0,0,1,0,1,
DT,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,0,0,6,11,0,0,0,0,27,0,0,0,0,0,0,1,0,44,0,0,0,0,52,0,0,0,1,0,0,0,2,0,
#,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,
NN,0,7,14,0,7,1,0,1,0,152,0,2,2,0,3,0,3933,130,2,2,1,1,12,1,0,2,147,16,0,0,13,4,6,0,10,0,0,4,0,7,1,31,0,0,7,22,
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,1202,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,
.,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,11,0,1317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRP,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
RB,0,0,1,0,1,0,0,1,1,16,0,0,0,1,16,0,2,13,1,0,0,0,956,1,0,0,1,0,1,0,1,3,4,3,0,1,10,0,0,0,0,1,0,0,1,8,
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NNS,0,31,1,0,5,10,0,2,2,36,0,22,1,0,0,0,8,75,0,0,0,0,4,0,0,1691,35,7,1,0,5,0,0,1,8,2,0,12,0,36,2,9,9,0,8,27,
NNP,0,3,4,0,6,0,13,1,0,108,0,3,5,0,8,0,172,252,1,1,0,1,7,0,0,2,2359,18,4,0,27,10,4,1,0,1,3,2,1,89,2,10,0,3,10,85,
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,5,0,0,849,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
PDT,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RBS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,10,1,0,1,1,0,0,0,2,2,1,0,0,5,8,0,0,993,0,0,2,0,3,0,0,0,0,7,2,
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,
IN,0,0,0,0,0,0,0,0,2,2,0,0,0,0,114,0,1,23,0,0,0,0,243,0,0,0,1,0,0,0,0,0,0,0,0,0,3225,0,0,0,0,0,0,1,0,0,
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,
MD,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6,7,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,
NNPS,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,24,37,0,0,0,0,0,0,0,0,0,0,2,0,48,0,0,0,1,0,1,
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,44,0,0,0,0,
JJR,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,11,0,5,0,
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
VB,0,1,0,0,1,0,1,18,0,2,4,0,0,0,2,0,16,4,0,0,8,0,8,0,0,0,3,3,0,0,2,1,0,0,0,1,0,0,19,0,0,2,0,0,912,2,
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
